ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU1811.SHF,20171116,,54860.0,54460.0,54750.0,54460.0,54680.0,54630.0,-180.0,-230.0,6.0,163.89,6.0,6.0
CU1811.SHF,20171117,54680.0,54630.0,54830.0,54830.0,54620.0,54800.0,54760.0,170.0,130.0,14.0,383.32,10.0,4.0
CU1811.SHF,20171120,54800.0,54760.0,54720.0,54720.0,54700.0,54700.0,54710.0,-60.0,-50.0,4.0,109.42,12.0,2.0
CU1811.SHF,20171121,54700.0,54710.0,54810.0,55200.0,54810.0,55130.0,55040.0,420.0,330.0,56.0,1541.23,56.0,44.0
CU1811.SHF,20171122,55130.0,55040.0,55450.0,55970.0,55450.0,55950.0,55670.0,910.0,630.0,22.0,612.39,72.0,16.0
CU1811.SHF,20171123,55950.0,55670.0,56170.0,56170.0,55650.0,55650.0,55850.0,-20.0,180.0,44.0,1228.78,102.0,30.0
CU1811.SHF,20171124,55650.0,55850.0,55580.0,56110.0,55580.0,56030.0,55850.0,180.0,0.0,122.0,3406.95,176.0,74.0
CU1811.SHF,20171127,56030.0,55850.0,56230.0,56310.0,55480.0,55480.0,55840.0,-370.0,-10.0,192.0,5360.94,166.0,-10.0
CU1811.SHF,20171128,55480.0,55840.0,55630.0,55640.0,55000.0,55050.0,55340.0,-790.0,-500.0,88.0,2435.36,178.0,12.0
CU1811.SHF,20171129,55050.0,55340.0,54680.0,55000.0,54600.0,54830.0,54920.0,-510.0,-420.0,62.0,1702.71,228.0,50.0
CU1811.SHF,20171130,54830.0,54920.0,54610.0,54650.0,54090.0,54340.0,54380.0,-580.0,-540.0,206.0,5601.15,346.0,118.0
CU1811.SHF,20171201,54340.0,54380.0,54490.0,54490.0,54300.0,54460.0,54350.0,80.0,-30.0,74.0,2011.3,370.0,24.0
CU1811.SHF,20171204,54460.0,54350.0,54460.0,55180.0,54380.0,55060.0,54930.0,710.0,580.0,142.0,3900.26,456.0,86.0
CU1811.SHF,20171205,55060.0,54930.0,54970.0,55010.0,53900.0,53910.0,54690.0,-1020.0,-240.0,218.0,5962.09,586.0,130.0
CU1811.SHF,20171206,53910.0,54690.0,53680.0,53680.0,52680.0,52800.0,52930.0,-1890.0,-1760.0,214.0,5664.02,668.0,82.0
